Ньютон, Исаак	Война	0.5
Австралия	Индуизм	0
Телевидение	Истина	2
YouTube	Искусство	1.5
Англия	Шоколад	1
Жёлтый цвет	Клинтон, Билл	0
Чингисхан	Google (компания)	1
Южная Америка	Индуизм	1
Пиво	Led Zeppelin	1.5
Европа	Индуизм	0
Телефон	Инструмент	2.5
Осень	Зима	4
Австралия	Хлеб	0
Опытное знание	Музыка	2.5
Лето	Гай Юлий Цезарь	0
Страх	Жёлтый цвет	0
Англия	Вино	0
Италия	Пиво	0.5
Франция	Хлеб	3
Ирландия (остров)	Индуизм	0
Антарктида	Буддизм	0
4chan	Искусство	0.5
Архитектор	4chan	0.5
Queen	Кантри	2
Ньютон, Исаак	Физика	4
Газета	Страх	3.5
Утро	Горбатый кит	0
Microsoft	Apple	4
Религия	Демократия	3
Душ	Наводнение	3.5
Космонавт	Фламинго	0
Голубиные	Skype	1.5
Плотоядные	Тигр	3.5
Организация стран — экспортёров нефти	Масло	2.5
Склодовская-Кюри, Мария	Математика	2
Любовь	Собака	3
Белоголовый орлан	Осень	1
Буддизм	Зима	0
Архитектура	Век	2.5
Швейцария	NeWS	1
Франция	Сыр	3.5
Гарвардский университет	Йельский университет	4
Австралия	Любовь	1
Чингисхан	Красный цвет	3.5
Северная Америка	Буддизм	1.5
Большая панда	Банк	0
SOAP	Опера	4
Обама, Барак	Синий цвет	3.5
Гнев	Жёлтый цвет	2
Иерусалим	Израиль	4
Буш, Джордж Уокер	Война	4
Queen	Поп-музыка	2.5
Skype	Искусство	1
Facebook	Сыр	0
Англия	Пиво	2.5
Антарктида	Христианство	1
Индуизм	Весна	0
Страх	Синий цвет	2
Галилей, Галилео	Банк	0
Любовь	Синий цвет	0
Австралия	Шоколад	1
Плотоядные	Млекопитающие	3.5
Лето	Осень	4
Франция	Вино	3.5
Рок-музыка	Ньютон, Исаак	1
Склодовская-Кюри, Мария	Физика	3
Гнев	Синий цвет	0
Сыр	Франция	4
ABBA	Кантри	1
Эйнштейн, Альберт	Химия	3
Кошка	Собака	4
Мост	Река	4
Мир (отсутствие войны)	Собака	1.5
Аляска	Сельва	1
Мужчина	Женщина	4
Россия	Буддизм	0.5
Зима	Лето	4
Ньютон, Исаак	Математика	3.5
Канада	Утро	0.5
Тьюринг, Алан	Аттила	0
Дарвин, Чарльз	Физика	0
Италия	Хлеб	3.5
Любовь	Голубиные	1.5
Любовь	Лев	0.5
Твиттер	Искусство	0
Фламинго	Космонавт	0
Израиль	Война	4
Обама, Барак	Красный цвет	1.5
Медвежьи	Большая панда	4
Страх	Белоголовый орлан	1.5
Твиттер	Лето	0
Лев	Кисть (анатомия)	0
Газета	Технология	2.5
Google (компания)	Facebook	4
4chan	ABBA	2
Архитектор	Архитектура	4
Apple	Google (компания)	4
Химия	Математика	4
Телевидение	Лживость	4
Зло	Наука	1
Зима	Весна	4
Обама, Барак	Христианство	0.5
Философия	Наука	3.5
Flickr	Искусство	3
Млекопитающие	Тигр	4
Собака	Архитектор	1
Зима	Осень	4
Литература	Facebook	0.5
Война	Гренландский тюлень	0
Газета	Истина	3.5
Физика	Математика	4
Плотоядные	Плотоядные	4
Ирландия (остров)	Вино	0.5
The Beatles	Архитектор	0
Средний Восток	Мир (отсутствие войны)	2
Пресли, Элвис	Кантри	0
Калифорнийский кондор	Перу	1
Белоголовый орлан	Физика	0
The Beatles	Поп-музыка	3.5
Дарвин, Чарльз	Химия	0
Семья	Планирование	3
Наполеон I	Иудаизм	0
Религия	Конституция США	3
Бразилия	Пиво	1.5
Google (компания)	Интернет	4
Эйлер, Леонард	Телевидение	0
Англия	Сыр	0
Microsoft	Facebook	4
Тигр	Тигр	4
Кукуруза сахарная	Кирпич	0
Соединённые Штаты Америки	Шоколад	0.5
Буддизм	4chan	0
Зелёный цвет	Нож	0
Искусство	Страх	2
Австралия	Сыр	0
Архитектор	Демократическая Республика Конго	0
Губернатор	Интервью	1.5
World of Warcraft	Искусство	0.5
Мир (отсутствие войны)	Голубиные	2
Весна	Лето	4
ABBA	Рок-музыка	2
Галилей, Галилео	Физика	4
Спирс, Бритни	Индонезия	0
Led Zeppelin	Поп-музыка	1
Зло	Этика	2.5
Facebook	Google (компания)	4
Эйнштейн, Альберт	Вкус	1
Война	Голубиные	0
Война	Орлиные	2
Ясир Арафат	Мир (отсутствие войны)	1
Южная Америка	Красный цвет	1
Ирландия (остров)	Пиво	4
Колумб, Христофор	Австралия	0.5
Эйлер, Леонард	Математика	2
Франция	Пиво	1
Федеральное бюро расследований	Дактилоскопия	2.5
Вино	Flickr	0
Танец	Пиво	2
Соединённые Штаты Америки	Вино	2
Осень	Весна	4
Лето	Засуха	4
Ясир Арафат	Джексон, Джесси	1
Белоголовый орлан	Бразилия	0
Белоголовый орлан	Искусство	0
Жёлтый цвет	Любовь	0.5
Обама, Барак	Рецессия	2.5
Южная Америка	Буддизм	1
Грусть	Синий цвет	4
Химия	Физика	4
Интернет	Истина	3
Христианство	Демократия	2
Деньги	Доллар	4
Дарвин, Чарльз	Математика	1
Эйлер, Леонард	Физика	2
Йельский университет	Гарвардский университет	4
Европа	Христианство	3.5
Галилей, Галилео	Кухня (помещение)	0
Война	Лев	2
Калифорнийский кондор	Александр Македонский	0
Германия	Сыр	0.5
Apple	Microsoft	4
